,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
217,Jahlil Okafor,19.4,0.7,0.1,1.4,1.2,0.8,0.1,9.7,0.0,1.4,0.2,0.1,0.5,0.0,27.6,15.0,1.0,2.16,1.08,2.2,3.3,4.2,6350.4,0.65,0.56,4.3,NOP
218,Jake Layman,14.1,0.7,0.1,1.5,1.5,0.8,0.5,30.0,0.1,7.3,2.2,2.1,0.9,0.4,21.8,14.7,0.6,1.77,0.91,0.6,0.3,2.0,7860.7,0.84,0.65,4.48,POR
219,Jakob Poeltl,20.4,1.2,0.0,2.3,0.2,0.1,0.1,41.2,0.0,11.8,0.2,-,0.1,-,25.4,14.1,0.6,1.43,0.29,2.4,1.1,5.1,6790.4,0.69,0.6,4.48,SAS
220,Jalen Brunson,34.5,3.2,0.5,6.2,7.9,3.2,3.6,45.7,1.0,12.3,1.6,1.5,2.7,0.9,45.8,21.1,3.1,4.1,3.59,1.1,0.2,0.7,9121.7,0.95,0.77,4.45,DAL
221,Jalen Jones,11.1,0.4,0.0,0.8,1.8,0.6,0.4,24.1,0.0,0.0,1.7,1.7,0.3,0.0,16.7,8.6,0.6,2.08,1.17,0.1,0.1,0.9,5529.9,0.55,0.5,4.39,CLE
222,Jamal Crawford,27.4,3.6,0.3,6.4,3.0,1.3,1.2,40.2,0.3,9.5,1.4,1.3,4.7,1.8,37.8,15.4,3.0,4.82,4.55,0.1,0.0,0.1,6937.3,0.74,0.57,3.87,PHX
223,Jamal Murray,55.5,4.8,1.1,8.6,10.2,4.9,4.0,39.4,1.1,11.0,2.9,2.7,7.8,2.8,76.9,34.6,5.6,4.37,3.93,1.0,0.3,1.9,13481.2,1.46,1.09,4.4,DEN
224,James Ennis III,12.3,0.7,0.2,1.2,1.3,0.6,0.5,37.3,0.1,9.3,2.4,2.4,0.4,0.3,19.1,12.6,0.5,1.67,0.81,0.5,0.0,1.7,8662.4,0.86,0.78,4.34,PHI
225,James Harden,49.5,7.5,0.9,13.8,19.6,9.3,6.1,31.1,2.2,11.3,0.9,0.9,13.7,12.1,87.2,27.7,9.3,6.37,5.92,0.4,1.1,0.9,12495.2,1.31,1.06,3.63,HOU
226,James Johnson,28.8,2.5,0.2,5.1,4.6,2.2,1.5,33.5,0.3,6.4,2.1,2.0,1.3,0.6,38.3,18.8,1.8,2.9,2.23,1.0,0.5,1.3,8106.6,0.84,0.69,4.06,MIA
227,James Nunnally,4.5,0.5,0.0,0.7,0.4,0.3,0.1,33.3,0.0,0.0,1.4,1.4,0.4,0.3,6.9,5.3,0.2,1.77,1.04,0.0,0.0,0.1,2824.1,0.28,0.26,4.36,HOU
